,user_word,first_best_id,first_best_id_prob,first_best_id_dev,second_best_id,second_best_id_prob,second_best_id_dev,third_best_id,third_best_id_prob,third_best_id_dev,fourth_best_id,fourth_best_id_prob,fourth_best_id_dev,fifth_best_id,fifth_best_id_prob,fifth_best_id_dev
0,aucroc,12,0.189,0.165,49,0.162,0.138,29,0.108,0.084,50,0.081,0.057,26,0.054,0.03
1,binary,6,0.119,0.094,15,0.077,0.053,12,0.072,0.047,19,0.064,0.039,37,0.058,0.034
2,blue,6,0.5,0.476,15,0.25,0.226,0,0.167,0.142,18,0.083,0.059,47,0.0,-0.024
3,categorical,18,0.09,0.065,11,0.069,0.045,12,0.069,0.045,49,0.065,0.041,55,0.061,0.037
4,coefficient,3,0.304,0.279,48,0.179,0.154,6,0.107,0.083,1,0.089,0.065,18,0.054,0.029
5,collinear,18,0.114,0.09,6,0.057,0.033,37,0.057,0.033,55,0.054,0.029,49,0.047,0.023
6,distributed,50,0.111,0.087,11,0.103,0.078,54,0.077,0.053,57,0.068,0.044,12,0.06,0.035
7,epsilon,1,0.113,0.089,49,0.086,0.062,18,0.08,0.056,15,0.074,0.05,6,0.065,0.041
8,f1,18,0.138,0.114,19,0.114,0.089,37,0.11,0.085,6,0.058,0.033,27,0.056,0.032
9,fit,29,0.104,0.079,6,0.104,0.079,55,0.104,0.079,3,0.082,0.058,1,0.082,0.058
10,gini,6,0.202,0.177,3,0.174,0.15,55,0.083,0.059,18,0.067,0.043,15,0.059,0.035
11,independent,6,0.101,0.076,18,0.094,0.069,37,0.076,0.051,11,0.065,0.04,29,0.061,0.037
12,lasso,6,0.303,0.279,15,0.182,0.157,9,0.121,0.097,18,0.091,0.067,0,0.061,0.036
13,linear,3,0.111,0.086,57,0.106,0.081,15,0.08,0.056,37,0.075,0.051,18,0.075,0.051
14,logistic,49,0.6,0.576,54,0.4,0.376,0,0.0,-0.024,46,0.0,-0.024,33,0.0,-0.024
15,loss,19,0.238,0.214,37,0.103,0.078,6,0.085,0.061,18,0.066,0.041,55,0.046,0.021
16,matrix,47,0.121,0.097,6,0.121,0.097,27,0.108,0.084,9,0.064,0.039,19,0.057,0.033
17,minimization,49,0.095,0.07,20,0.084,0.06,48,0.084,0.06,6,0.074,0.049,19,0.074,0.049
18,mse,54,0.087,0.063,53,0.087,0.063,6,0.078,0.053,15,0.078,0.053,11,0.068,0.044
19,ols,6,0.122,0.098,55,0.079,0.055,54,0.072,0.048,18,0.072,0.048,37,0.072,0.048
20,precision,54,0.148,0.124,19,0.148,0.124,9,0.13,0.105,29,0.093,0.068,32,0.074,0.05
21,predict,11,0.067,0.043,18,0.067,0.043,15,0.062,0.038,29,0.058,0.033,6,0.048,0.024
22,pvalue,20,0.182,0.158,48,0.16,0.136,49,0.077,0.053,50,0.072,0.047,54,0.066,0.042
23,r2,15,0.103,0.078,37,0.081,0.057,57,0.059,0.035,49,0.059,0.035,6,0.043,0.019
24,recall,18,0.195,0.171,3,0.114,0.09,47,0.11,0.085,39,0.09,0.066,28,0.076,0.052
25,regression,37,0.18,0.156,47,0.18,0.156,53,0.12,0.096,27,0.08,0.056,55,0.06,0.036
26,residual,54,0.089,0.065,48,0.076,0.052,19,0.071,0.047,47,0.067,0.043,37,0.062,0.038
27,ridge,29,0.128,0.103,55,0.121,0.096,37,0.099,0.075,19,0.071,0.047,50,0.064,0.039
28,sigmoid,6,0.113,0.089,53,0.065,0.04,18,0.058,0.033,12,0.053,0.029,55,0.051,0.027
29,significant,47,0.079,0.055,53,0.072,0.048,6,0.065,0.041,0,0.058,0.033,55,0.058,0.033
30,target,55,0.099,0.075,37,0.09,0.066,50,0.081,0.057,19,0.081,0.057,11,0.063,0.039
31,tstat,6,0.151,0.127,9,0.079,0.055,12,0.065,0.04,11,0.058,0.033,37,0.058,0.033
32,x,18,0.168,0.143,19,0.128,0.103,37,0.084,0.06,47,0.057,0.033,55,0.054,0.029
33,y,55,0.28,0.256,3,0.12,0.096,33,0.08,0.056,54,0.08,0.056,18,0.06,0.036
